Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
Alkhidmat Asan Iftaar 2022,Social Responsibility,Apr 09 2022 - Apr 30 2022,5:00 PM - 7:30 PM,Lahore,Alkhidmat Foundation Pakistan,3,19,4,19,4 - 19 hours
Donate for Education! Donate for Pakistan!,Social Responsibility,Apr 12 2022 - Apr 30 2022,11:03 AM - 5:03 AM,,Tehreek Shaoor Pakistan,5,13,9,16,9 - 16 hours
Looking for volunteers to frame student artworks,Community Service,Apr 19 2022 - Apr 30 2022,9:00 AM - 11:00 AM,Karachi,Zindagi Trust,4,1,1,12,1 - 12 hours
CSP UET New Campus Task 7 Serve Meals,"Events, Conferences",Feb 04 2022 - Apr 29 2022,1:00 PM - 11:59 PM,Lahore,Milkar,5,6,10,20,10 - 20 hours
Alkhidmat Grand Iftaar 2022 for Orphans & Older Persons,Community Service,Apr 29 2022 - Apr 29 2022,5:30 PM - 8:00 PM,,Alkhidmat Foundation Pakistan,4,16,10,13,10 - 13 hours
CSP UET New Campus Task 6 iDonateBooks,"Teaching, Workshops",Feb 04 2022 - Apr 22 2022,1:00 PM - 11:59 PM,Lahore,Milkar,3,17,7,13,7 - 13 hours
CareForHealth Ration Drive Ramadan 2022,Community Service,Mar 24 2022 - Apr 15 2022,3:00 PM - 5:30 PM,Karachi,CareForHealth,3,17,8,19,8 - 19 hours
Call for volunteers packaging and distribution of ration bags 2022,Community Service,Mar 31 2022 - Apr 15 2022,9:00 AM - 7:00 PM,,Khuda K Liye,3,4,4,16,4 - 16 hours
pakistaniftar2022,Community Service,Mar 15 2022 - Apr 12 2022,4:00 PM - 8:00 PM,,ALLAH Walay Trust,5,5,8,17,8 - 17 hours
Door of Awareness,"Events, Conferences",Mar 21 2022 - Apr 09 2022,10:00 AM - 4:00 PM,,Door of Awareness,5,4,4,19,4 - 19 hours
CSP UET New Campus Task 5 Tutor,Social Responsibility,Feb 04 2022 - Apr 01 2022,1:00 PM - 11:59 PM,,Milkar,5,5,1,19,1 - 19 hours
Door of Awareness,Community Service,Mar 31 2022 - Mar 31 2022,3:00 PM - 9:00 PM,,Door of Awareness,3,5,7,14,7 - 14 hours
Summer Internship 2022,"Teaching, Workshops",Mar 12 2022 - Mar 28 2022,9:00 AM - 3:00 PM,Lahore,Pakistan Citizens Alliance,4,2,5,19,5 - 19 hours
"MilKar & AWT DastarkhwanVisit & Serve People"" March 2022""",Community Service,Mar 18 2022 - Mar 26 2022,6:00 PM - 8:00 PM,,ALLAH Walay Trust,3,8,3,15,3 - 15 hours
Earth Hour 2022,Community Service,Mar 26 2022 - Mar 26 2022,8:30 PM - 9:30 PM,,World Wide Fund for Nature Pakistan,5,1,4,19,4 - 19 hours
Earth Hour 2022,Community Service,Mar 26 2022 - Mar 26 2022,8:30 PM - 9:30 PM,,Milkar,4,5,6,11,6 - 11 hours
CSP UET New Campus Task 3 Clean Spaces,Community Service,Feb 04 2022 - Mar 25 2022,10:00 PM - 11:59 PM,Lahore,Milkar,3,8,6,13,6 - 13 hours
WORLD TB DAY PUBLIC HEALTH SYMPOSIUM & TB CHEST CAMP,Community Service,Mar 24 2022 - Mar 24 2022,11:30 AM - 1:00 PM,,INFECTION PREVENTION AND CONTROL FOUNDATION,4,2,10,15,10 - 15 hours
Plantation Drive & Food Distribution CSP Bahria Uni Lahore March 2022,Community Service,Mar 21 2022 - Mar 22 2022,9:00 AM - 3:00 PM,Lahore,Milkar,3,4,5,18,5 - 18 hours
KDSP Carnival 2021,"Events, Conferences",Mar 20 2022 - Mar 20 2022,11:00 AM - 9:00 PM,Karachi,Karachi Down Syndrome Program,3,4,4,18,4 - 18 hours
KDSP Carnival March 2022,Social Responsibility,Mar 14 2022 - Mar 20 2022,3:00 PM - 9:00 PM,,Karachi Down Syndrome Program,5,16,9,16,9 - 16 hours
CSP UET New Campus Task 4 Local Produce,"Teaching, Workshops",Feb 04 2022 - Mar 18 2022,1:00 PM - 11:59 PM,,Milkar,4,12,4,11,4 - 11 hours
Door of Awareness,"Teaching, Workshops",Mar 15 2022 - Mar 15 2022,10:30 AM - 2:30 PM,,Door of Awareness,3,3,10,11,10 - 11 hours
International Women's Day Ride - Together We Ride 2022,Social Responsibility,Mar 08 2022 - Mar 13 2022,7:00 AM - 10:00 AM,,Milkar,5,2,1,18,1 - 18 hours
Need for Donation in school Uniforms category,Social Responsibility,Feb 23 2022 - Mar 12 2022,10:35 AM - 3:36 AM,,Tehreek Shaoor Pakistan,4,17,8,15,8 - 15 hours
fundraising,"Events, Conferences",Mar 11 2022 - Mar 12 2022,10:00 AM - 8:00 PM,,Door of Awareness,4,16,6,16,6 - 16 hours
Door of Awareness,"Events, Conferences",Mar 12 2022 - Mar 12 2022,9:30 AM - 4:30 PM,,Door of Awareness,5,5,4,18,4 - 18 hours
Fundamentals of Fundraising,Social Responsibility,Mar 05 2022 - Mar 05 2022,10:00 AM - 4:00 PM,Lahore,Pakistan Citizens Alliance,5,5,8,20,8 - 20 hours
Akhuwat Winter Clothes Drive,Community Service,Jan 01 2022 - Feb 28 2022,9:00 AM - 4:00 PM,,Akhuwat Foundation,5,5,9,20,9 - 20 hours
Quilts Distribution by PCA| Second Phase 2022,Social Responsibility,Jan 16 2022 - Feb 28 2022,10:00 AM - 4:00 PM,,Pakistan Citizens Alliance,4,5,4,12,4 - 12 hours
Teach For Pakistan Fellowship 2022,Social Responsibility,Jan 18 2022 - Feb 28 2022,9:00 AM - 5:00 PM,,Teach For Pakistan,5,18,1,15,1 - 15 hours
Campus Ambassadors 2022,"Teaching, Workshops",Feb 21 2022 - Feb 28 2022,9:00 AM - 11:59 PM,,SOS Childrens Villages Pakistan,3,4,5,13,5 - 13 hours
"MilKar & AWT DastarkhwanVisit & Serve People"" Feb 2022""","Teaching, Workshops",Feb 26 2022 - Feb 26 2022,4:15 PM - 6:00 PM,,ALLAH Walay Trust,4,15,2,19,2 - 19 hours
Call for Uniform Sweaters Donation,Social Responsibility,Jan 14 2022 - Feb 25 2022,1:30 PM - 5:30 PM,,Tehreek Shaoor Pakistan,5,10,9,11,9 - 11 hours
CSP UET New Campus Task 2 Re-user,"Teaching, Workshops",Feb 04 2022 - Feb 25 2022,4:00 PM - 11:59 PM,,Milkar,4,20,6,11,6 - 11 hours
Membership and Volunteer Registration Campaign,Community Service,Jan 19 2022 - Feb 18 2022,9:00 AM - 5:00 PM,,Musharaf Iqbal Foundation,4,11,5,12,5 - 12 hours
CSP UET New Campus Task 1 Advocate,Social Responsibility,Feb 04 2022 - Feb 11 2022,1:00 PM - 11:59 PM,,Milkar,4,18,7,15,7 - 15 hours
Young Leaders Summit by Edifiers Activism,"Events, Conferences",Jan 17 2022 - Feb 03 2022,10:00 AM - 2:00 PM,,Edifiers Activism,5,5,8,11,8 - 11 hours
"MilKar & AWT DastarkhwanVisit & Serve People"" Jan 2022""",Social Responsibility,Jan 29 2022 - Jan 29 2022,4:30 PM - 6:00 PM,,ALLAH Walay Trust,3,17,6,19,6 - 19 hours
Clean-up Drive Nishtar Colony,Community Service,Jan 29 2022 - Jan 29 2022,9:00 AM - 12:00 PM,,Seedventures,3,12,9,11,9 - 11 hours
Blanket Drive for underprivileged,Community Service,Jan 10 2022 - Jan 27 2022,11:30 AM - 12:30 AM,Karachi,CareForHealth,5,9,4,20,4 - 20 hours
Food Distribution At Burewala Dastarkhawan,Community Service,Jan 16 2021 - Jan 23 2022,11:30 AM - 3:30 PM,,Humans Of Burewala,5,4,3,12,3 - 12 hours
Alkhimat Women Youth Virtual Conference 2022,"Events, Conferences",Jan 22 2022 - Jan 22 2022,1:00 PM - 4:30 PM,,Alkhidmat Foundation Pakistan,4,19,6,11,6 - 11 hours
Call for Management Young Leaders Summit 2022,"Events, Conferences",Jan 21 2022 - Jan 22 2022,9:00 AM - 11:59 PM,,Edifiers Activism,4,6,6,19,6 - 19 hours
GCT-SAF Fundraiser,Social Responsibility,Jan 13 2022 - Jan 13 2022,12:00 AM - 12:00 AM,Lahore,Green Crescent Trust,5,9,1,20,1 - 20 hours
Ambassador Call for TREK VENTURE - 2022,"Teaching, Workshops",Jan 07 2022 - Jan 09 2022,8:00 PM - 11:00 PM,Lahore,Million Smiles Foundation,5,10,4,18,4 - 18 hours
"AWT Dastarkhwan Visit & Serving to People""""","Events, Conferences",Jan 08 2022 - Jan 08 2022,4:15 PM - 6:00 PM,Lahore,ALLAH Walay Trust,5,14,3,17,3 - 17 hours
Setting up Library,"Teaching, Workshops",Nov 01 2020 - Dec 31 2021,10:11 AM - 4:12 PM,,The School of Leadership,4,9,5,17,5 - 17 hours
Water Pump Project,Social Responsibility,Mar 19 2021 - Dec 31 2021,9:00 AM - 9:00 AM,,Pakistan Citizens Alliance,4,5,5,16,5 - 16 hours
MilKar Champions Program,"Teaching, Workshops",Apr 01 2021 - Dec 31 2021,9:00 AM - 5:00 PM,,Milkar,5,15,1,15,1 - 15 hours
Toy Donation Drive by Akhuwat Clothes Bank,Social Responsibility,Sep 30 2021 - Dec 31 2021,10:00 AM - 4:00 PM,,Akhuwat Foundation,4,9,4,17,4 - 17 hours
Book Drive SOS Children's Villages Pakistan,Community Service,Oct 05 2021 - Dec 31 2021,9:00 AM - 4:00 PM,,SOS Childrens Villages Pakistan,4,9,8,19,8 - 19 hours
Akhuwat Clothes Drive,Community Service,Oct 11 2021 - Dec 31 2021,10:00 AM - 4:00 PM,,Akhuwat Foundation,3,10,10,14,10 - 14 hours
Teach For Pakistan 2022 Fellowship,Community Service,Oct 21 2021 - Dec 31 2021,9:00 AM - 4:00 PM,,Teach For Pakistan,5,12,9,17,9 - 17 hours
OSP Gala '21,"Events, Conferences",Dec 30 2021 - Dec 30 2021,12:00 PM - 2:00 AM,Hyderabad City,Green Crescent Trust,5,13,2,17,2 - 17 hours
OSP Gala '21,Social Responsibility,Dec 23 2021 - Dec 23 2021,9:00 AM - 6:00 PM,Karachi,Green Crescent Trust,5,4,7,13,7 - 13 hours
Alkhidmat Youth Gathering 6.0,Social Responsibility,Dec 18 2021 - Dec 18 2021,9:30 AM - 5:30 AM,Lahore,Alkhidmat Foundation Pakistan,4,5,7,19,7 - 19 hours
Jerseys Distribution in Gov. School Children for Girls in District خوشاب,"Teaching, Workshops",Dec 06 2021 - Dec 12 2021,8:14 AM - 2:14 AM,Khushab,Tehreek Shaoor Pakistan,3,16,9,13,9 - 13 hours
Dewar e Mehrbani Delhi Gate Lahore,Social Responsibility,Dec 05 2021 - Dec 05 2021,9:00 AM - 12:00 PM,Lahore,Akhuwat Foundation,5,6,8,16,8 - 16 hours
Cleanup Drive Lahore,Community Service,Dec 04 2021 - Dec 04 2021,9:00 AM - 12:00 PM,Lahore,Seedventures,4,5,1,12,1 - 12 hours
Research work for Data collection for Kamyab Pakistan Project,"Events, Conferences",Aug 25 2021 - Nov 30 2021,9:00 AM - 5:00 PM,,Rural Community Development Society,3,7,2,19,2 - 19 hours
Internship Program,Community Service,Nov 01 2021 - Nov 30 2021,9:00 AM - 2:00 PM,,School Psychological Services and Training,4,17,3,17,3 - 17 hours
Free Educational & Free Uniforms Distribution in Sheikhupura Gov.Schools,"Teaching, Workshops",Nov 22 2021 - Nov 30 2021,7:47 AM - 2:42 AM,,Tehreek Shaoor Pakistan,3,19,1,20,1 - 20 hours
GET Youth Web Development Course,Community Service,Sep 27 2021 - Nov 29 2021,3:00 PM - 5:00 PM,,GET Youth,4,17,6,19,6 - 19 hours
"AWT Dastarkhwan Visit & Serving to People""""","Teaching, Workshops",Nov 27 2021 - Nov 27 2021,4:15 PM - 6:30 PM,Lahore,ALLAH Walay Trust,3,18,7,17,7 - 17 hours
Trash-Free Lahore,"Teaching, Workshops",Nov 20 2021 - Nov 20 2021,9:00 AM - 12:00 PM,Lahore,Seedventures,3,9,8,11,8 - 11 hours
Become A Campus Ambassador,Social Responsibility,Oct 23 2021 - Nov 14 2021,9:00 AM - 4:00 PM,,Aalam Bibi Trust,4,10,6,17,6 - 17 hours
Pakistan Climate Justice March,Social Responsibility,Nov 08 2021 - Nov 08 2021,2:00 PM - 5:00 PM,Lahore,ClimateActionPk,1,5,1,11,1 - 11 hours
Place a Donation Box,Social Responsibility,Sep 10 2020 - Oct 31 2021,8:00 AM - 8:00 PM,Lahore,Society for Multiple Sclerosis Patients,3,16,7,12,7 - 12 hours
Motivation Speaker,"Events, Conferences",Sep 18 2021 - Oct 31 2021,11:20 PM - 1:26 PM,,Tehreek Shaoor Pakistan,3,4,2,13,2 - 13 hours
Call for donations SOS Children's Villages Pakistan,Social Responsibility,Oct 09 2021 - Oct 31 2021,9:00 AM - 4:00 PM,,SOS Childrens Villages Pakistan,3,7,6,16,6 - 16 hours
Cleanup Drive Lahore,Community Service,Oct 31 2021 - Oct 31 2021,10:00 AM - 12:00 PM,,Seedventures,3,6,1,13,1 - 13 hours
"AWT Dastarkhwan Visit & Serving to People""""",Social Responsibility,Oct 30 2021 - Oct 30 2021,11:30 AM - 1:30 PM,,ALLAH Walay Trust,3,20,8,20,8 - 20 hours
Volunteers Development Program,Community Service,Oct 25 2021 - Oct 30 2021,9:00 AM - 5:00 PM,,Pakistan Citizens Alliance,3,17,9,16,9 - 16 hours
Main Hon #SMSPPKeSath,Social Responsibility,Sep 10 2020 - Oct 24 2021,9:00 AM - 6:00 PM,Lahore,Society for Multiple Sclerosis Patients,4,12,1,19,1 - 19 hours
PEHO Foundation Blood Donation Camp,Social Responsibility,Oct 24 2021 - Oct 24 2021,11:00 AM - 5:00 PM,,Preventive Education Health Oriented Foundation,4,5,1,14,1 - 14 hours
Uniforms distribution in لودھراں Government School,Community Service,Oct 20 2021 - Oct 23 2021,10:52 AM - 1:55 PM,Lodhran,Tehreek Shaoor Pakistan,5,4,1,19,1 - 19 hours
Teach For Pakistan's Campus Leader Program 2021-2022,Social Responsibility,Sep 23 2021 - Oct 21 2021,9:00 AM - 5:00 PM,,Teach For Pakistan,5,14,3,17,3 - 17 hours
Uniform Distribution in Sialkot سیالکوٹ government School,Community Service,Oct 13 2021 - Oct 16 2021,8:07 AM - 12:12 PM,Sialkot,Tehreek Shaoor Pakistan,4,13,4,17,4 - 17 hours
World Food Day Awareness Walk & Lunch Distribution at Govt Primary School,"Events, Conferences",Oct 15 2021 - Oct 15 2021,9:45 AM - 11:30 AM,,ALLAH Walay Trust,3,4,10,18,10 - 18 hours
Uniform Drive in تھل Rajanpur,Community Service,Oct 04 2021 - Oct 08 2021,8:28 AM - 10:30 PM,Rajanpur,Tehreek Shaoor Pakistan,3,5,3,12,3 - 12 hours
World Teachers Day 2021 - Awards for Storytelling,"Events, Conferences",Oct 01 2021 - Oct 04 2021,9:00 AM - 5:00 PM,,Idara e Taleem o Aagahi,4,11,5,19,5 - 19 hours
Stationary Distribution to Government School Children,Social Responsibility,Sep 29 2021 - Oct 02 2021,8:00 AM - 2:06 PM,Multan,Tehreek Shaoor Pakistan,5,5,6,14,6 - 14 hours
Voluntary Internship Program,Social Responsibility,Aug 02 2021 - Oct 01 2021,10:00 AM - 6:00 PM,Lahore,Milkar,5,4,3,15,3 - 15 hours
Indus Hospital Bake Sale Karachi Dolmenmall Clifton,Community Service,Sep 25 2021 - Sep 28 2021,10:00 AM - 8:00 PM,,Indus Hospital & Health Network,3,5,6,11,6 - 11 hours
Feed The Hungry,Community Service,Sep 23 2021 - Sep 28 2021,8:32 PM - 12:00 AM,,Khuloos e Khidmat Pakistan,3,4,5,14,5 - 14 hours
"AWT Dastarkhwan Visit & Serving to People""""","Events, Conferences",Sep 25 2021 - Sep 25 2021,11:30 AM - 1:30 PM,,ALLAH Walay Trust,4,10,5,15,5 - 15 hours
Plant a tree this Defence Day; Alkhidmat Foundation Pakistan|MilKar,Social Responsibility,Sep 06 2021 - Sep 06 2021,3:00 PM - 6:00 PM,,Alkhidmat Foundation Pakistan,4,5,7,19,7 - 19 hours
Membership,"Events, Conferences",Aug 12 2021 - Aug 31 2021,12:42 AM - 1:43 PM,,School Psychological Services and Training,4,7,2,16,2 - 16 hours
Akhuwat Fellowship Program 2021,Community Service,Jun 27 2021 - Aug 28 2021,10:30 AM - 2:30 PM,,Akhuwat Foundation,5,19,10,13,10 - 13 hours
"AWT Dastarkhwan Visit & Serving to People""""",Social Responsibility,Aug 28 2021 - Aug 28 2021,6:00 PM - 8:30 PM,Lahore,ALLAH Walay Trust,3,15,2,20,2 - 20 hours
One Week Training Program,"Teaching, Workshops",Aug 23 2021 - Aug 28 2021,3:00 PM - 7:00 PM,,Pakistan Citizens Alliance,4,14,5,17,5 - 17 hours
Tehreek-e-Shaoor Pakistan Uniform Derive,Social Responsibility,Aug 16 2021 - Aug 23 2021,7:31 AM - 12:32 PM,,Tehreek Shaoor Pakistan,5,6,6,12,6 - 12 hours
Content Writing,Community Service,Sep 10 2020 - Aug 20 2021,9:00 AM - 3:00 PM,Rawalpindi,Project Break the Barriers,4,5,6,11,6 - 11 hours
"Lahore- Call For Volunteers Cash Your Trash Campaign""""",Community Service,Aug 08 2021 - Aug 15 2021,7:30 AM - 10:00 AM,Lahore,Milkar,5,4,1,17,1 - 17 hours
Registration open for TCF Baghbaan Ambassador Program 2021,Social Responsibility,Aug 13 2021 - Aug 15 2021,12:00 AM - 11:59 PM,,The Citizens Foundation,3,4,10,14,10 - 14 hours
Plant A Tree This 14th August with MilKar & Allah Walay Trust,Community Service,Aug 14 2021 - Aug 14 2021,10:00 AM - 4:00 PM,,ALLAH Walay Trust,3,20,9,18,9 - 18 hours
Independence Day|MilKar Voluntary Partner with all Cycling Clubs LHR,Community Service,Aug 14 2021 - Aug 14 2021,4:00 AM - 9:00 AM,Lahore,Milkar,5,9,5,17,5 - 17 hours
"Invitation to Join, NHDR 2020 Webinar: Policy as a Driver of Inequality",Community Service,Aug 13 2021 - Aug 13 2021,10:30 AM - 12:00 PM,,Punjab SDGs Support Unit,4,6,5,18,5 - 18 hours
Pearl Continental | MilKar Voluntary Partner 14th August,Community Service,Aug 13 2021 - Aug 13 2021,3:00 PM - 6:00 PM,,Milkar,5,5,1,18,1 - 18 hours
Baghbaan Ambassadors Program Orientation Session,Community Service,Aug 12 2021 - Aug 12 2021,8:00 PM - 9:00 PM,,The Citizens Foundation,5,20,6,14,6 - 14 hours
Research,Social Responsibility,Sep 10 2020 - Aug 10 2021,9:00 AM - 3:00 PM,Rawalpindi,Project Break the Barriers,4,13,9,15,9 - 15 hours
LAHORE-CALL FOR VOLUNTEERS “Door to Door Covid-19 Vaccine Campaign”,Community Service,Jul 26 2021 - Aug 10 2021,10:00 AM - 6:00 PM,,Milkar,3,3,7,19,7 - 19 hours
Bahria University Lahore“Door to Door Covid-19 Vaccine Campaign”,Community Service,Jul 26 2021 - Aug 10 2021,10:00 AM - 6:00 PM,,Milkar,5,3,1,19,1 - 19 hours
University of South Asia “Door to Door Covid-19 Vaccine Campaign”,Community Service,Jul 26 2021 - Aug 10 2021,10:00 AM - 6:00 PM,,Milkar,5,18,2,11,2 - 11 hours
Forman Christian College “Door to Door Covid-19 Vaccine Campaign”,Social Responsibility,Jul 26 2021 - Aug 10 2021,10:00 AM - 6:00 PM,,Milkar,4,1,5,14,5 - 14 hours
Superior University “Door to Door Covid-19 Vaccine Campaign”,"Teaching, Workshops",Jul 26 2021 - Aug 10 2021,10:00 AM - 6:00 PM,,Milkar,5,7,9,18,9 - 18 hours
Baghbaan Ambassadors Program Orientation Session,Community Service,Aug 10 2021 - Aug 10 2021,8:00 PM - 9:15 PM,,The Citizens Foundation,4,5,10,16,10 - 16 hours
Call for Digital Illustrators,Community Service,Apr 05 2021 - Jul 31 2021,9:00 AM - 6:00 PM,Lahore,Rahnumai,3,6,6,17,6 - 17 hours
"AWT Dastarkhwan Visit & Serving to People""""","Teaching, Workshops",Jul 31 2021 - Jul 31 2021,6:30 PM - 8:30 PM,Lahore,ALLAH Walay Trust,5,9,4,16,4 - 16 hours
Ambassador Program,Community Service,Jun 23 2021 - Jul 23 2021,3:00 PM - 6:00 PM,,Khuloos e Khidmat Pakistan,3,2,2,14,2 - 14 hours
MilKar|Masks Awareness Drive,Community Service,Jul 13 2021 - Jul 17 2021,7:00 AM - 12:00 PM,Lahore,Milkar,3,4,7,13,7 - 13 hours
One Month Internship Program,Community Service,Jun 15 2021 - Jul 15 2021,9:00 AM - 5:00 PM,,Pakistan Citizens Alliance,3,15,5,18,5 - 18 hours
SAY Global Foundation Volunteer Opportunity,Community Service,Mar 10 2021 - Jul 10 2021,10:00 AM - 6:00 PM,,SAY Global Foundation,2,4,3,18,3 - 18 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 09 2021 - Jul 09 2021,9:00 AM - 5:00 PM,,Milkar,3,20,9,14,9 - 14 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 07 2021 - Jul 07 2021,9:00 AM - 5:00 PM,,Milkar,5,10,6,12,6 - 12 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 06 2021 - Jul 06 2021,9:00 AM - 5:00 PM,,Milkar,3,3,8,18,8 - 18 hours
Internship - Pakistan Children's Heart Foundation,Social Responsibility,Jul 05 2021 - Jul 05 2021,9:00 AM - 5:00 PM,Lahore,Pakistan Children's Heart Foundation,3,5,7,15,7 - 15 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 05 2021 - Jul 05 2021,9:00 AM - 5:00 PM,,Milkar,4,9,4,19,4 - 19 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 04 2021 - Jul 04 2021,9:00 AM - 5:00 PM,,Milkar,3,5,4,14,4 - 14 hours
LahoreWearsMasks-Call For Volunteers,Community Service,Jul 02 2021 - Jul 02 2021,9:00 AM - 5:00 PM,,Milkar,5,14,7,15,7 - 15 hours
Construction Of Masjid,Social Responsibility,Jan 03 2021 - Jul 01 2021,10:00 AM - 10:00 AM,,Helpline,4,14,4,16,4 - 16 hours
Become an SMSPP Backer,"Teaching, Workshops",Dec 03 2020 - Jun 30 2021,11:00 AM - 12:00 AM,,Society for Multiple Sclerosis Patients,5,5,7,13,7 - 13 hours
Donation Drive for Amna Public School,Social Responsibility,Mar 17 2021 - Jun 30 2021,12:00 PM - 6:00 PM,,Taabir,4,1,1,19,1 - 19 hours
MilKar X Superior SEP,Social Responsibility,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Pakistan Citizens Alliance,4,4,10,17,10 - 17 hours
MilKar X Superior SEP,"Events, Conferences",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Hope Uplift Foundation,5,8,4,19,4 - 19 hours
MilKar X Superior SEP,"Teaching, Workshops",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Seed Out,3,7,1,14,1 - 14 hours
MilKar X Superior SEP,Community Service,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Initiative to Educate and Cure Pakistan - IECP,4,4,6,18,6 - 18 hours
MilKar X Superior SEP,Social Responsibility,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 AM,,Beti,4,5,9,16,9 - 16 hours
MilKar X Superior SEP,Social Responsibility,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Youth Engagement Fellowship,5,20,9,11,9 - 11 hours
MilKar X Superior SEP,"Events, Conferences",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,MILESTONE,4,4,7,17,7 - 17 hours
MilKar X Superior SEP,Community Service,Apr 01 2021 - Jun 30 2021,9:00 AM - 9:00 PM,,Edifiers Activism,5,6,7,20,7 - 20 hours
MilKar X Superior SEP,"Teaching, Workshops",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Million Smiles Foundation,3,13,3,11,3 - 11 hours
MilKar X Superior SEP,Social Responsibility,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,ALLAH Walay Trust,5,4,5,18,5 - 18 hours
MilKar X Superior SEP,Community Service,Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,STEP TO LITERACY,3,13,8,19,8 - 19 hours
MilKar X Superior SEP,"Teaching, Workshops",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Justajoo,4,6,3,14,3 - 14 hours
MilKar X Superior SEP,"Events, Conferences",Apr 01 2021 - Jun 30 2021,9:00 AM - 5:00 PM,,Rahnumai,5,18,2,12,2 - 12 hours
Connected Women Entrepreneurship Challenge,Social Responsibility,Jun 30 2021 - Jun 30 2021,1:00 PM - 7:00 PM,,Connected Women Pakistan,5,3,3,18,3 - 18 hours
"AWT Dastarkhwan Visit & Serving to People""""",Community Service,Jun 26 2021 - Jun 26 2021,11:30 AM - 1:30 PM,Lahore,ALLAH Walay Trust,3,5,9,12,9 - 12 hours
"MilKar & AWT DastarkhwanVisit & Serve People""""",Community Service,Jun 26 2021 - Jun 26 2021,6:30 PM - 8:30 PM,,ALLAH Walay Trust,4,5,7,19,7 - 19 hours
Digital Eco Internship Programme | World Without Waste,"Events, Conferences",Jun 07 2021 - Jun 25 2021,2:30 PM - 3:30 PM,,World Wide Fund for Nature Pakistan,4,15,3,20,3 - 20 hours
Annual Volunteers Congress 2021,Community Service,Jun 25 2021 - Jun 25 2021,11:00 AM - 5:00 PM,,INFECTION PREVENTION AND CONTROL FOUNDATION,3,17,10,18,10 - 18 hours
Solar Clean Energy Pakistan 2021,Community Service,Jun 23 2021 - Jun 23 2021,9:00 AM - 4:00 PM,,National Forum for Environment and Health,4,4,10,14,10 - 14 hours
Street School,"Teaching, Workshops",Oct 09 2020 - Jun 22 2021,4:00 PM - 6:00 PM,Islamabad,Chadar,4,7,1,17,1 - 17 hours
Documentary making for GCT School Ground Breaking,"Events, Conferences",Jun 07 2021 - Jun 22 2021,9:00 AM - 6:00 PM,,Green Crescent Trust,3,16,5,17,5 - 17 hours
Tehreek-e-Shaoor Pakistan School derive,Community Service,Jun 18 2021 - Jun 21 2021,7:52 AM - 2:48 PM,,Tehreek Shaoor Pakistan,5,2,1,18,1 - 18 hours
Data Management,Community Service,Jun 01 2021 - Jun 20 2021,9:20 AM - 4:20 AM,,READ Foundation,4,9,9,19,9 - 19 hours
Share the kindness of a personal connection| MilKar Fathers Day Activity,Social Responsibility,Jun 20 2021 - Jun 20 2021,4:00 PM - 6:00 PM,,Milkar,5,15,6,16,6 - 16 hours
Soldier of Education Campaign,"Teaching, Workshops",Jun 19 2021 - Jun 19 2021,9:00 AM - 9:00 AM,,Initiative to Educate and Cure Pakistan - IECP,3,4,9,18,9 - 18 hours
Hamari Kahaniyaan Volunteer Program'21,Community Service,Jun 19 2021 - Jun 19 2021,5:00 PM - 6:00 PM,,SOS Childrens Villages Pakistan,5,7,1,11,1 - 11 hours
MilKar & Sundas Foundation | Blood Donation Drive,Social Responsibility,Jun 14 2021 - Jun 14 2021,10:00 AM - 12:00 PM,,Milkar,5,6,7,12,7 - 12 hours
MilKar | Call For Campus Ambassadors,Community Service,Jun 12 2021 - Jun 12 2021,3:00 PM - 3:00 PM,,Milkar,5,18,7,19,7 - 19 hours
MilKar & Alkhidmat | Plantation Drive,Community Service,Jun 11 2021 - Jun 11 2021,4:00 PM - 7:00 PM,,Milkar,5,4,8,19,8 - 19 hours
"MilKar & AWT DastarkhwanVisit & Serve People""""","Teaching, Workshops",Jun 09 2021 - Jun 09 2021,6:30 PM - 8:30 PM,Lahore,Milkar,4,19,1,16,1 - 16 hours
"Call For MilKar Environmental Champions"" June '21""","Events, Conferences",Jun 01 2021 - Jun 05 2021,4:00 PM - 12:00 PM,,Milkar,3,19,7,13,7 - 13 hours
Hybrid Seminar on World Environment Day 2021,Community Service,Jun 03 2021 - Jun 03 2021,3:00 PM - 6:00 PM,,National Forum for Environment and Health,4,8,3,17,3 - 17 hours
